Brew_ID,Name,City,State,Latitude,Longitude
1,NorthGate Brewing ,Minneapolis, MN,44.977753,-93.2650108
2,Against the Grain Brewery,Louisville, KY,38.2526647,-85.7584557
3,Jack's Abby Craft Lagers,Framingham, MA,42.279286,-71.4161565
4,Mike Hess Brewing Company,San Diego, CA,32.715738,-117.1610838
5,Fort Point Beer Company,San Francisco, CA,37.7749295,-122.4194155
6,COAST Brewing Company,Charleston, SC,32.7764749,-79.9310512
7,Great Divide Brewing Company,Denver, CO,39.7392358,-104.990251
8,Tapistry Brewing,Bridgman, MI,41.9430986,-86.5569659
9,Big Lake Brewing,Holland, MI,42.7875235,-86.1089301
10,The Mitten Brewing Company,Grand Rapids, MI,42.9633599,-85.6680863
11,Brewery Vivant,Grand Rapids, MI,42.9633599,-85.6680863
12,Petoskey Brewing,Petoskey, MI,45.3733428,-84.9553296
13,Blackrocks Brewery,Marquette, MI,46.5436199,-87.3953713
14,Perrin Brewing Company,Comstock Park, MI,43.0386368,-85.6700332
15,Witch's Hat Brewing Company,South Lyon, MI,42.46059,-83.6516063
16,Founders Brewing Company,Grand Rapids, MI,42.9633599,-85.6680863
17,Flat 12 Bierwerks,Indianapolis, IN,39.768403,-86.158068
18,Tin Man Brewing Company,Evansville, IN,37.9715592,-87.5710898
19,Black Acre Brewing Co.,Indianapolis, IN,39.768403,-86.158068
20,Brew Link Brewing,Plainfield, IN,39.7042123,-86.3994387
21,Bare Hands Brewery,Granger, IN,41.7533819,-86.1108377
22,Three Pints Brewing,Martinsville, IN,39.4278253,-86.4283279
23,Four Fathers Brewing ,Valparaiso, IN,41.4730948,-87.0611412
24,Indiana City Brewing,Indianapolis, IN,39.768403,-86.158068
25,Burn 'Em Brewing,Michigan City, IN,41.7075394,-86.8950297
26,Sun King Brewing Company,Indianapolis, IN,39.768403,-86.158068
27,Evil Czech Brewery,Mishawaka, IN,41.6619927,-86.1586156
28,450 North Brewing Company,Columbus, IN,39.2014404,-85.9213796
29,Taxman Brewing Company,Bargersville, IN,39.5208818,-86.1677657
30,Cedar Creek Brewery,Seven Points, TX,32.3204226,-96.2130315
31,SanTan Brewing Company,Chandler, AZ,33.3061605,-111.8412502
32,Boulevard Brewing Company,Kansas City, MO,39.0997265,-94.5785667
33,James Page Brewing Company,Stevens Point, WI,44.5235792,-89.574563
34,The Dudes' Brewing Company,Torrance, CA,33.8358492,-118.3406288
35,Ballast Point Brewing Company,San Diego, CA,32.715738,-117.1610838
36,Anchor Brewing Company,San Francisco, CA,37.7749295,-122.4194155
37,Figueroa Mountain Brewing Company,Buellton, CA,34.613597,-120.1926505
38,Avery Brewing Company,Boulder, CO,40.0149856,-105.2705456
39,Twisted X Brewing Company,Dripping Springs, TX,30.1902067,-98.0866781
40,Gonzo's BiggDogg Brewing,Kalamazoo, MI,42.2917069,-85.5872286
41,Big Muddy Brewing,Murphysboro, IL,37.7644952,-89.3350888
42,Lost Nation Brewing,East Fairfield, VT,44.7844926,-72.8584674
43,Rising Tide Brewing Company,Portland, ME,43.6590993,-70.2568189
44,Rivertowne Brewing Company,Export, PA,40.4181235,-79.6255989
45,Revolution Brewing Company,Chicago, IL,41.8781136,-87.6297982
46,Tallgrass Brewing Company,Manhattan, KS,39.1836082,-96.5716694
47,Sixpoint Craft Ales,Brooklyn, NY,40.6781784,-73.9441579
48,White Birch Brewing,Hooksett, NH,43.0967213,-71.4651283
49,Firestone Walker Brewing Company,Paso Robles, CA,35.6368759,-120.6545022
50,SweetWater Brewing Company,Atlanta, GA,33.7489954,-84.3879824
51,Flying Mouse Brewery,Troutville, VA,37.4181897,-79.8747627
52,Upslope Brewing Company,Boulder, CO,40.0149856,-105.2705456
53,Pipeworks Brewing Company,Chicago, IL,41.8781136,-87.6297982
54,Bent Brewstillery,Roseville, MN,45.0060767,-93.1566107
55,Flesk Brewing Company,Lombard, IL,41.8800296,-88.0078435
56,Pollyanna Brewing Company,Lemont, IL,41.673642,-88.0017261
57,BuckleDown Brewing,Lyons, IL,41.8133651,-87.8181128
58,Destihl Brewery,Bloomington, IL,40.4842027,-88.9936873
59,Summit Brewing Company,St. Paul, MN,44.9537029,-93.0899578
60,Latitude 42 Brewing Company,Portage, MI,42.2011538,-85.5800022
61,4 Hands Brewing Company,Saint Louis, MO,38.6270025,-90.1994042
62,Surly Brewing Company,Brooklyn Center, MN,45.076076,-93.3327283
63,Against The Grain Brewery,Louisville, KY,38.2526647,-85.7584557
64,Crazy Mountain Brewing Company,Edwards, CO,39.644986,-106.5942
65,SlapShot Brewing Company,Chicago, IL,41.8781136,-87.6297982
66,Mikerphone Brewing,Chicago, IL,41.8781136,-87.6297982
67,Freetail Brewing Company,San Antonio, TX,29.4241219,-98.4936282
68,3 Daughters Brewing,St Petersburg, FL,27.7676008,-82.6402915
69,Red Shedman Farm Brewery and Hop...,Mt. Airy, MD,39.3762145,-77.154704
70,Appalachian Mountain Brewery,Boone, NC,36.216795,-81.6745517
71,Birdsong Brewing Company,Charlotte, NC,35.2270869,-80.8431267
72,Union Craft Brewing,Baltimore, MD,39.2903848,-76.6121893
73,Atwater Brewery,Detroit, MI,42.331427,-83.0457538
74,Ale Asylum,Madison, WI,43.0730517,-89.4012302
75,Two Brothers Brewing Company,Warrenville, IL,41.817807,-88.1734021
76,Bent Paddle Brewing Company,Duluth, MN,46.7866719,-92.1004852
77,Bell's Brewery,Kalamazoo, MI,42.2917069,-85.5872286
78,Blue Owl Brewing,Austin, TX,30.267153,-97.7430608
79,Speakasy Ales & Lagers,San Francisco, CA,37.7749295,-122.4194155
80,Black Tooth Brewing Company,Sheridan, WY,44.7971939,-106.9561791
81,Hopworks Urban Brewery,Portland, OR,45.5122308,-122.6587185
82,Epic Brewing,Denver, CO,39.7392358,-104.990251
83,New Belgium Brewing Company,Fort Collins, CO,40.5852602,-105.084423
84,Sierra Nevada Brewing Company,Chico, CA,39.7284944,-121.8374777
85,Keweenaw Brewing Company,Houghton, MI,47.1211331,-88.5694182
86,Brewery Terra Firma,Traverse City, MI,44.7630567,-85.6206317
87,Grey Sail Brewing Company,Westerly, RI,41.3775987,-71.8272871
88,Kirkwood Station Brewing Company,Kirkwood, MO,38.5833862,-90.406785
89,Goose Island Brewing Company,Chicago, IL,41.8781136,-87.6297982
90,Broad Brook Brewing LLC,East Windsor, CT,41.9161361,-72.5578799
91,The Lion Brewery,Wilkes-Barre, PA,41.2459149,-75.8813075
92,Madtree Brewing Company,Cincinnati, OH,39.1031182,-84.5120196
